,Scientific,English,ISSCAAP,TL,seTL
921,Paranotothenia magellanica,Magellanic rockcod,33,3.4,0.06
922,Parapenaeopsis atlantica,Guinea shrimp,45,2.7,0.35
923,Parapenaeopsis spp,Parapenaeopsis shrimps,45,2.7,0.35
924,Parapenaeus longirostris,Deepwater rose shrimp,45,2.7,0.35
925,Parapercis colias,New Zealand blue cod,33,3.5,0.26
926,Parapristipoma octolineatum,African striped grunt,33,3.5,0.26
927,Parona signata,Parona leatherjacket,34,3.3,0.28
928,Patagonotothen brevicauda,Patagonian rockcod,33,3.4,0.06
929,Patagonotothen longip. ramsayi,Longtail southern cod,33,3.4,0.06
930,Patinopecten caurinus,Weathervane scallop,55,2.1,0.29
931,Pecten fumatus,Australian southern scallop,55,2.1,0.29
932,Pecten jacobaeus,Great mediterranean scallop,55,2.1,0.29
933,Pecten maximus,Common scallop,55,2.1,0.29
934,Pecten meridionalis,Australian scallop,55,2.1,0.29
935,Pecten novaezelandiae,New Zealand scallop,55,2.1,0.29
936,Pecten yessoensis,Yesso scallop,55,2.1,0.29
937,Pectinidae,Scallops nei,55,2.1,0.29
938,Pelecus cultratus,Sichel,11,2.7,0.34
939,Pellona ditchela,Indian pellona,24,2.8,0.27
940,Penaeidae,Penaeid shrimps,45,2.3,0.52
941,Penaeus aztecus,Northern brown shrimp,45,2.8,0.46
942,Penaeus brasiliensis,Redspotted shrimp,45,2.7,0.35
943,Penaeus brevirostris,Crystal shrimp,45,2.7,0.35
944,Penaeus californiensis,Yellowleg shrimp,45,2.7,0.35
945,Penaeus chinensis,Fleshy prawn,45,2.7,0.35
946,Penaeus duorarum,Northern pink shrimp,45,3,0.35
947,Penaeus esculentus,Brown tiger prawn,45,2.7,0.35
948,Penaeus indicus,Indian white prawn,45,2.7,0.35
949,Penaeus japonicus,Kuruma prawn,45,2.7,0.35
950,Penaeus kerathurus,Caramote prawn,45,2.7,0.35
951,Penaeus latisulcatus,Western king prawn,45,2.7,0.35
952,Penaeus merguiensis,Banana prawn,45,3,0.68
953,Penaeus monodon,Giant tiger prawn,45,2.6,0.59
954,Penaeus notialis,Southern pink shrimp,45,2.7,0.35
955,Penaeus occidentalis,Western white shrimp,45,2.7,0.35
956,Penaeus paulensis,Sao Paulo shrimp,45,2.7,0.35
957,Penaeus penicillatus,Redtail prawn,45,2.7,0.35
958,Penaeus plebejus,Eastern king prawn,45,2.7,0.35
959,Penaeus schmitti,Southern white shrimp,45,2.7,0.35
960,Penaeus semisulcatus,Green tiger prawn,45,2.7,0.35
961,Penaeus setiferus,Northern white shrimp,45,2.7,0.54
962,Penaeus spp,Penaeus shrimps nei,45,2.3,0.52
963,Penaeus stylirostris,Blue shrimp,45,2.7,0.35
964,Penaeus vannamei,Whiteleg shrimp,45,2.7,0.35
965,Pennahia argentata,Silver croaker,33,3.4,0.06
966,Pentanemus quinquarius,Royal threadfin,34,3.3,0.28
967,Peprilus alepidotus,North Atlantic harvestfish,34,3.3,0.28
968,Peprilus simillimus,Pacific pompano,34,3.3,0.28
969,Peprilus spp,"Gulf butterfish, harvestfishes",34,3.3,0.28
970,Peprilus triacanthus,Atlantic butterfish,34,3.3,0.28
971,Perca flavescens,American yellow perch,13,3.5,0.54
972,Perca fluviatilis,European perch,13,3.5,0.54
973,Perciformes,Demersal percomorphs nei,33,3.5,0.26
974,Perciformes,Pelagic percomorphs nei,34,3.8,0.13
975,Percoidei,Percoids nei,33,3.4,0.06
976,Percophis brasiliensis,Brazilian flathead,33,3.5,0.26
977,Perna perna,South American rock mussel,54,2.1,0.22
978,Petromyzon spp,Lampreys,13,3.1,0.28
979,Petromyzontidae,Lampreys nei,13,3.1,0.28
980,Petrus rupestris,Red steenbras,33,3.5,0.26
981,Phaeophyceae,Brown seaweeds,91,1,0
982,Phoca groenlandica,Harp seal,63,3.8,0.45
983,Phoca hispida,Ringed seal,63,3.8,0.5
984,Phoca vitulina,Harbor seal,63,4,0.4
985,Phocoena phocoena,Harbour porpoise,62,4.1,0.38
986,Phocoenides dalli,Dall's porpoise,62,4.1,0.35
987,Phycis blennoides,Greater forkbeard,32,3.8,0.25
988,Phycis phycis,Forkbeard,32,3.8,0.25
989,Phycis spp,Forkbeards nei,32,3.8,0.25
990,Physeter catodon,Sperm whale,62,4.4,0.4
991,Pinguipes spp,Brazilian sandperches,33,3.5,0.26
992,Placopecten magellanicus,American sea scallop,55,2.1,0.29
993,Platax spp,Batfishes,33,3.5,0.26
994,Platichthys flesus,European flounder,31,3.5,0.26
995,Platycephalidae,Flatheads,33,3.5,0.26
996,Platycephalus indicus,Bartail flathead,33,3.5,0.26
997,Plecoglossus altivelis,Ayu sweetfish,23,3.6,0.27
998,Plectorhinchus macrolepis,Biglip grunt,33,3.5,0.26
999,Plectorhinchus mediterraneus,Rubberlip grunt,33,3.5,0.26
1000,Plectroplites ambiguus,Golden perch,33,3.5,0.26
1001,Pleoticus muelleri,Argentine red shrimp,45,2.2,0.23
1002,Pleoticus robustus,Royal red shrimp,45,2.2,0.23
1003,Plesiopenaeus edwardsianus,Scarlet shrimp,45,2.3,0.24
1004,Pleuragramma antarcticum,Antarctic silverfish,33,3.4,0.06
1005,Pleurogrammus azonus,Atka mackerel,33,3.5,0.26
1006,Pleuronect. quadrituberculatus,Alaska plaice,31,3.5,0.26
1007,Pleuronectes platessa,European plaice,31,2.9,0.3
1008,Pleuronectidae,Righteye flounders,31,3.5,0.26
1009,Pleuronectiformes,Flatfishes nei,31,3.2,0.36
1010,Plotosus spp,Catfish eels,33,3.5,0.26
1011,Pogonias cromis,Black drum,33,3.4,0.06
1012,Pollachius pollachius,Pollack,32,3.8,0.25
1013,Pollachius virens,Saithe(=Pollock),32,4.3,0.36
1014,Polychaeta,Marine worms nei,77,2.3,0.61
1015,Polydactylus quadrifilis,Giant African threadfin,34,3.3,0.28
1016,Polynemidae,"Threadfins, tasselfishes nei",34,3.3,0.28
1017,Polyodon spathula,Mississippi paddlefish,21,3.6,0.27
1018,Polyprion americanus,Wreckfish,33,3.5,0.26
1019,Polyprion oxygeneios,Hapuku wreckfish,33,3.5,0.26
1020,Polysteganus coeruleopunctatus,Blueskin seabream,33,3.4,0.06
1021,Polysteganus praeorbitalis,Scotsman seabream,33,3.4,0.06
1022,Polysteganus spp,"Polystegan seabreams, nei",33,3.4,0.06
1023,Polysteganus undulosus,Seventyfour seabream,33,3.4,0.06
1024,Pomadasys argenteus,Silver grunt,33,3.5,0.26
1025,Pomadasys incisus,Bastard grunt,33,3.5,0.26
1026,Pomadasys jubelini,Sompat grunt,33,3.5,0.26
1027,Pomatomidae,"Bluefishes, nei",34,3.3,0.28
1028,Pomatomus saltatrix,Bluefish,34,3.3,0.28
1029,Porphyra tenera,Laver(=Nori),92,1,0
1030,Portunidae,Swimming crabs nei,42,3.4,0.47
1031,Portunus pelagicus,Blue swimming crab,42,3,0.68
1032,Portunus spp,Swimcrabs,42,2.5,0.65
1033,Portunus trituberculatus,Gazami crab,42,2.6,0.3
1034,Priacanthidae,"Bigeyes, glasseyes, bullseyes",33,3.4,0.35
1035,Priacanthus macracanthus,Red bigeye,33,3.4,0.35
1036,Priacanthus spp,Bigeyes nei,33,3.4,0.35
1037,Prionace glauca,Blue shark,38,3.8,0.59
1038,Prionotus spp,Atlantic searobins,33,3.5,0.26
1039,Pristidae,Sawfishes,38,3.6,0.24
1040,Probarbus jullieni,Isok barb,11,2.7,0.34
1041,Procambarus acutus,White crawfish,41,2.2,0.23
1042,Procambarus clarkii,Red swamp crawfish,41,2.2,0.23
1043,Protopterus spp,African lungfishes,13,3.2,0.46
1044,Protothaca staminea,Pacific littleneck clam,56,2.1,0.13
1045,Protothaca thaca,Taca clam,56,2.1,0.13
1046,Psenes indica,Indian driftfish,33,3.5,0.26
1047,Psenopsis anomala,Pacific rudderfish,33,3.5,0.26
1048,Psetta maxima maeotica,Black Sea turbot,31,3.5,0.26
1049,Psetta maxima maxima,Turbot,31,3.1,0.3
1050,Psettodes belcheri,Spottail spiny turbot,31,3.5,0.26
1051,Psettodes bennetti,Spiny turbot,31,3.5,0.26
1052,Psettodes erumei,Indian halibut,31,4.3,0.34
1053,Psettodidae,Spiny turbots nei,31,4.3,0.34
1054,Pseudocaranx dentex,White trevally,34,3.7,0.44
1055,Pseudochaenichthys georgianus,South Georgia icefish,33,3.4,0.06
1056,Pseudopeneus prayensis,West African goatfish,33,3.5,0.26
1057,Pseudophycis bachus,Red codling,32,3.8,0.25
1058,Pseudopleuronectes americanus,Winter flounder,31,3.5,0.26
1059,Pseudopleuronectes herzenst.,Yellow striped flounder,31,3.5,0.26
1060,Pseudorhombus cinnamoneus,Cinnamon flounder,31,3.5,0.26
1061,Pseudosciaena manchurica,Yellow croaker,33,3.4,0.06
1062,Pseudotolithus brachygnathus,Law croaker,33,3.4,0.06
1063,Pseudotolithus elongatus,Bobo croaker,33,3.4,0.06
1064,Pseudotolithus senegalensis,Cassava croaker,33,3.4,0.06
1065,Pseudotolithus spp,West African croakers,33,3.4,0.06
1066,Pseudotolithus typus,Longneck croaker,33,3.4,0.06
1067,Pterogymnus laniarius,Panga seabream,33,3.5,0.26
1068,Pteroscion peli,Boe drum,33,3.4,0.06
1069,Pterothrissus belloci,Longfin bonefish,35,3,0.15
1070,Pterygotrigla polyommata,Latchet(=Sharpbeak gurnard),33,3.5,0.26
1071,Puntius gonionotus,Thai silver barb,11,2.5,0.52
1072,Puntius javanicus,Java barb,11,2.5,0.52
1073,Puntius spp,Asian barbs,11,2.5,0.52
1074,Puntius(=Tor) tor,Tor barb,11,2.5,0.52
1075,Pyura chilensis,Red sea squirt,74,3,0.3
1076,Pyura stolonifera,Red bait,74,3,0.3
1077,Rachycentridae,"Cobias, nei",34,3.3,0.28
1078,Rachycentron canadum,Cobia,34,3.3,0.28
1079,Raja batis,Blue skate,38,3.5,0.41
1080,Raja clavata,Thornback ray,38,3.5,0.41
1081,Raja fullonica,Shagreen ray,38,3.5,0.41
1082,Raja montagui,Spotted ray,38,3.5,0.41
1083,Raja naevus,Cuckoo ray,38,3.5,0.41
1084,Raja oxyrinchus,Longnosed skate,38,3.5,0.41
1085,Raja spp,Skates,38,3.5,0.41
1086,Rajidae,"Skates, nei",38,3.5,0.41
1087,Rajiformes,"Skates and rays, nei",38,3.5,0.52
1088,Rana spp,Frogs,71,2.6,0.68
1089,Rastrelliger brachysoma,Short mackerel,37,3.3,0.28
1090,Rastrelliger faughni,Island mackerel,37,3.3,0.28
1091,Rastrelliger kanagurta,Indian mackerel,37,3.3,0.28
1092,Rastrelliger spp,Indian mackerels nei,37,2.8,0.53
1093,Rastrineobola argentea,Silver cyprinid,11,2.6,0.56
1094,Reinhardtius hippoglossoides,Greenland halibut,31,3.5,0.26
1095,Reptantia,Marine crabs nei,42,2.6,0.3
1096,Rexea solandri,Silver gemfish,37,3.4,0.29
1097,Rhabdosargus globiceps,White stumpnose,33,3.5,0.26
1098,Rhabdosargus sarba,Goldlined seabream,33,3.5,0.26
1099,Rhinobatidae,Guitarfishes,38,3.5,0.52
1100,Rhinobatos albomaculatus,Whitespotted guitarfish,38,3.5,0.52
1101,Rhinobatos percellens,Chola guitarfish,38,3.5,0.52
1102,Rhinobatos planiceps,Pacific guitarfish,38,3.5,0.52
1103,Rhodophyceae,Red seaweeds,92,1,0
1104,Rhodymenia palmata,Dulse,92,1,0
1105,Rhombosolea spp,Sand flounders,31,3.5,0.26
1106,Rhopilema spp,Jellyfishes,77,2.3,0.61
1107,Ruditapes decussatus,Grooved carpet shell,56,2.1,0.13
1108,Ruditapes philippinarum,Japanese carpet shell,56,2.1,0.13
1109,Rutilus rutilus,Roach,11,2.8,0.63
1110,Rutilus spp,Roaches,11,2.8,0.67
1111,Ruvettus pretiosus,Oilfish,37,3.4,0.29
1112,Saccostrea cuccullata,Hooded oyster,53,2.1,0.13
1113,Salilota australis,Tadpole codling,32,3.8,0.25
1114,Salmo salar,Atlantic salmon,23,3.6,0.27
1115,Salmo spp,Trouts nei,23,3.6,0.27
1116,"Salmo spp, Salvelinus spp","Trouts, chars, nei",23,2.4,0.25
1117,Salmo trutta,Sea trout,23,4,0.19
1118,Salmonoidei,Salmonoids nei,23,2.4,0.25
1119,Salvelinus alpinus,Arctic char,23,3.6,0.27
1120,Salvelinus fontinalis,Brook trout,23,3.6,0.27
1121,Salvelinus malma,Dolly Varden,23,3.6,0.27
1122,Salvelinus namaycush,Lake trout(=Char),23,4,0.36
1123,Salvelinus spp,Chars nei,23,4,0.36
1124,Sarda australis,Australian bonito,36,4,0.12
1125,Sarda chiliensis,Eastern Pacific bonito,36,3.4,0.31
1126,Sarda orientalis,Striped bonito,36,4,0.12
1127,Sarda sarda,Atlantic bonito,36,3.8,0.34
1128,Sardina pilchardus,European pilchard(=Sardine),35,2.8,0.27
1129,Sardinella aurita,Round sardinella,35,2.6,0.52
1130,Sardinella brasiliensis,Brazilian sardinella,35,2.8,0.48
1131,Sardinella fimbriata,Fringescale sardinella,35,2.8,0.48
1132,Sardinella gibbosa,Goldstripe sardinella,35,2.8,0.48
1133,Sardinella lemuru,Bali sardinella,35,2.8,0.48
1134,Sardinella longiceps,Indian oil sardine,35,2.8,0.48
1135,Sardinella maderensis,Madeiran sardinella,35,2.8,0.48
1136,Sardinella spp,Sardinellas nei,35,2.8,0.48
1137,Sardinella zunasi,Japanese sardinella,35,2.8,0.48
1138,Sardinops caeruleus,California pilchard,35,2.7,0.48
1139,Sardinops melanostictus,Japanese pilchard,35,2.8,0.27
1140,Sardinops ocellatus,Southern African pilchard,35,2.8,0.27
1141,Sardinops sagax,South American pilchard,35,2.7,0.48
1142,Sarpa salpa,Salema,33,3.4,0.06
1143,Saurida tumbil,Greater lizardfish,33,3.8,0.49
1144,Saurida undosquamis,Brushtooth lizardfish,33,3.8,0.49
1145,Saxidomus giganteus,Butter clam,56,2.1,0.13
1146,Scatophagus spp,Scats,33,3.5,0.26
1147,Sciaena spp,Drums,33,3.5,0.26
1148,Sciaena umbra,Brown meagre,33,3.5,0.26
1149,Sciaenidae,"Croakers, drums nei",33,3.3,0.21
1150,Sciaenops ocellatus,Red drum,33,3.4,0.06
1151,Scleractinia,"Stony(=Hard)corals,madrepores",82,2.3,0.61
1152,Scolopsis spp,Monocle breams,33,3.5,0.26
1153,Scomber australasicus,Blue mackerel,37,3.3,0.28
1154,Scomber japonicus,Chub mackerel,37,3.3,0.31
1155,Scomber scombrus,Atlantic mackerel,37,3.7,0.53
1156,Scomber spp,'Scomber' mackerels nei,37,3.3,0.21
1157,Scomberesocidae,"Sauries, nei",34,3.8,0.13
1158,Scomberesox saurus,Atlantic saury,34,3.8,0.13
1159,Scomberoides(=Chorinemus)spp,Queenfishes,34,3.3,0.28
1160,Scomberomorus brasiliensis,Serra Spanish mackerel,36,4,0.12
1161,Scomberomorus cavalla,King mackerel,36,4,0.17
1162,Scomberomorus commerson,Narrow-barred Spanish mackerel,36,4,0.12
1163,Scomberomorus concolor,Monterey Spanish mackerel,36,4,0.12
1164,Scomberomorus guttatus,Indo-Pacific king mackerel,36,4,0.12
1165,Scomberomorus koreanus,Korean seerfish,36,4,0.12
1166,Scomberomorus lineolatus,Streaked seerfish,36,4,0.12
1167,Scomberomorus maculatus,Atlantic Spanish mackerel,36,3.9,0.29
1168,Scomberomorus multiradiatus,Papuan seerfish,36,4,0.12
1169,Scomberomorus munroi,Australian spotted mackerel,36,4,0.12
1170,Scomberomorus niphonius,Japanese Spanish mackerel,36,4,0.12
1171,Scomberomorus plurilineatus,Kanadi kingfish,36,4,0.12
1172,Scomberomorus queenslandicus,Queensland school mackerel,36,4,0.12
1173,Scomberomorus regalis,Cero,36,3.6,0.52
1174,Scomberomorus semifasciatus,Broad-barred king mackerel,36,4,0.12
1175,Scomberomorus sierra,Pacific sierra,36,4,0.12
1176,Scomberomorus sinensis,Chinese seerfish,36,4,0.12
1177,Scomberomorus spp,Seerfishes nei,36,3.9,0.37
1178,Scomberomorus tritor,West African Spanish mackerel,36,4,0.12
1179,Scombridae,"Mackerels, nei",37,3.2,0.55
1180,Scombroidei,Tuna-like fishes nei,36,3.8,0.34
1181,Scombroidei,Mackerel-like fishes nei,37,3.1,0.39
1182,Scophthalmus aquosus,Windowpane flounder,31,3.5,0.26
1183,Scophthalmus rhombus,Brill,31,3.5,0.26
1184,Scorpaena porcus,Black scorpionfish,33,3.5,0.26
1185,Scorpaena scrofa,Red scorpionfish,33,3.5,0.26
1186,Scorpaenidae,"Scorpionfishes, nei",33,3.5,0.26
1187,Scyliorhinidae,Catsharks,38,3.8,0.59
1188,Scyliorhinidae,Dogfishes and hounds,38,3.6,0.24
1189,Scyliorhinus spp,"Catsharks, nursehound",38,3.8,0.59
1190,Scyliorhinus stellaris,Nursehound,38,3.8,0.59
1191,Scylla serrata,Indo-Pacific swamp crab,42,2.8,0.44
1192,Scyllaridae,Slipper lobsters,43,2.8,0.65
1193,Scyllarus arctus,Lesser slipper lobster,43,2.3,0.24
1194,Sebastes alutus,Pacific ocean perch,33,3.4,0.06
1195,Sebastes capensis,Cape redfish,33,3.4,0.06
1196,Sebastes entomelas,Widow rockfish,33,3.4,0.06
1197,Sebastes flavidus,Yellowtail rockfish,33,3.4,0.06
1198,Sebastes marinus,Golden redfish,33,3.4,0.06
1199,Sebastes mentella,Beaked redfish,33,3.4,0.06
1200,Sebastes spp,Atlantic redfishes,33,3.6,0.39
1201,Sebastodes chamaco,Chilean rockfish,33,3.5,0.26
1202,Selachimorpha(Pleurotremata),Various sharks nei,38,3.6,0.24
1203,Selar crumenophthalmus,Bigeye scad,34,3.2,0.65
1204,Selaroides leptolepis,Yellowstripe scad,34,3.8,0.39
1205,Selene dorsalis,African moonfish,34,3.3,0.31
1206,Selene setapinnis,Atlantic moonfish,34,3.3,0.31
1207,Sepia officinalis,Common cuttlefish,57,3.2,0.14
1208,"Sepiidae, Sepiolidae","Cuttlefishes, bobtail squids",57,3.2,0.14
1209,Sergestidae,Sergestid shrimps,45,2.5,0.51
1210,Seriola dumerili,Greater amberjack,34,3.7,0.44
1211,Seriola lalandi,Yellowtail amberjack,34,3.3,0.28
1212,Seriola quinqueradiata,Japanese amberjack,34,3.3,0.28
1213,Seriola spp,Amberjacks nei,34,3.3,0.28
1214,Seriolella spp.,South Pacific breams,33,3.5,0.26
1215,Seriolella violacea,Palm ruff,33,3.5,0.26
1216,Serranidae,"Groupers, seabasses nei",33,3.5,0.26
1217,Serranus cabrilla,Comber,33,3.5,0.26
1218,Serranus spp,Combers,33,3.5,0.26
1219,Sicyonia brevirostris,Rock shrimp,45,2.2,0.23
1220,Siganus canaliculatus,White-spotted spinefoot,33,2,0.16
1221,Siganus spp,Spinefeet(=Rabbitfishes),33,2.2,0.44
1222,Siliqua patula,Pacific razor clam,56,2.1,0.13
1223,Sillaginidae,Sillago-whitings,33,3.5,0.26
1224,Siluroidei,"Freshwater siluroids, etc",13,3.1,0.28
1225,Silurus glanis,Wels(=Som)catfish,13,3.1,0.28
1226,Solea lascaris,Sand sole,31,3.5,0.26
1227,Solea vulgaris,Common sole,31,3,0
1228,Soleidae,Soles nei,31,3,0
1229,Solen capensis,Cape razor clam,56,2.1,0.13
1230,Solen spp,Razor clams,56,2.1,0.13
1231,Solen vagina,European razor clam,56,2.1,0.13
1232,Solenidae,"Razor clams, knife clams",56,2.1,0.13
1233,Solenocera agassizii,Kolibri shrimp,45,2.2,0.23
1234,Solenoceridae,Solenocerid shrimps,45,2.2,0.23
1235,Somniosus microcephalus,Greenland shark,38,3.6,0.24
1236,Sparidae,"Porgies, seabreams, nei",33,3.4,0.06
1237,Sparisoma cretense,Parrotfish,33,3.5,0.26
1238,Sparus aurata,Gilthead seabream,33,3.3,0.72
1239,Sparus auriga,Redbanded seabream,33,3.5,0.26
1240,Sparus(=Pagrus)spp,"Pargo breams, nei",33,3.3,0.72
1241,Sphoeroides maculatus,Northern puffer,33,3.5,0.26
1242,Sphoeroides spp,Atlantic puffers,33,3.5,0.26
1243,Sphyraena afra (piscatorum),Guinean barracuda,34,3.3,0.28
1244,Sphyraena barracuda,Great barracuda,34,4.5,0.48
1245,Sphyraena spp,Barracudas,34,4.5,0.48
1246,Sphyraenidae,"Barracudas, nei",34,4.5,0.48
1247,Sphyrna lewini,Scalloped hammerhead,38,3.6,0.24
1248,Sphyrna zygaena,Smooth hammerhead,38,3.6,0.24
1249,Sphyrnidae,"Bonnethead, hammerhead sharks",38,3.6,0.24
1250,Spicara maena,Blotched picarel,33,3.5,0.26
1251,Spicara spp,Picarels,33,3.5,0.26
1252,Spisula polynyma,Stimpson's surf clam,56,2.1,0.13
1253,Spisula solidissima,Surf clam,56,2.1,0.13
1254,Spondyliosoma cantharus,Black seabream,33,3.4,0.06
1255,Spondyliosoma emarginatum,Steentjie seabream,33,3.4,0.06
1256,Spongidae,Sponges nei,83,2.3,0.61
1257,Spratelloides gracilis,Silver-stripe round herring,35,2.8,0.27
1258,Sprattus fuegensis,Falkland sprat,35,2.8,0.27
1259,Sprattus sprattus,European sprat,35,3.1,0.14
1260,Squalidae,Dogfish sharks nei,38,3.6,0.24
1261,"Squalidae, Scyliorhinidae",Dogfishes and hounds,38,3.6,0.24
1262,Squaliformes,Large sharks nei,38,3.6,0.24
1263,Squalus acanthias,Picked dogfish,38,3.6,0.24
1264,Squalus megalops,Shortnose spurdog,38,3.6,0.24
1265,Squalus spp,Dogfishes nei,38,3.8,0.53
1266,Squatina squatina,Angelshark,38,3.6,0.24
1267,Squatinidae,"Angelsharks, sand devils",38,3.6,0.24
1268,Squilla mantis,Spottail mantis squillid,47,2.6,0.3
1269,Squillidae,Squillids nei,47,2.3,0.46
1270,Stenella coeruleoalba,Striped dolphin,62,4.2,0.32
1271,Stenella longirostris,Spinner dolphin,62,4.3,0.19
1272,Stenella spp,Spotted dolphins,62,4.3,0.3
1273,Stenodus leucichthys,Sheefish,23,2.4,0.25
1274,Stenotomus chrysops,Scup,33,3.4,0.06
1275,Stephanolepis cirrhifer,Threadsail filefish,33,3.5,0.26
1276,Sternoptychidae,Hatchetfishes,33,3.4,0.06
1277,Stichopus japonicus,Japanese sea cucumber,76,2.3,0.61
1278,Stizostedion lucioperca,Pike-perch,13,4.1,0.19
1279,Stizostedion spp,"Walleyes, nei",13,4.1,0.19
1280,Stizostedion vitreum,Walleye,13,4.1,0.19
1281,Stolephorus spp,Stolephorus anchovies,35,2.7,0.54
1282,"Stolothrissa, Limnothrissa spp",Dagaas,24,3.1,0.25
1283,Strangomera bentincki,Araucanian herring,35,2.8,0.27
1284,Stromateidae,"Butterfishes, silver pomfrets",34,3.3,0.28
1285,Stromateus fiatola,Blue butterfish,34,3.8,0.35
1286,Strombus spp,Stromboid conchs,52,2,0
1287,Strongylocentrotus lividus,Purple sea urchin,76,2.3,0.61
1288,Strongylocentrotus spp,Sea urchins,76,2.3,0.61
1289,Strongylura marina,Atlantic needlefish,34,3.2,0.43
1290,Synagrops japonicus,Blackmouth splitfin,33,3.5,0.26
1291,Synagrops spp,Splitfins nei,33,3.5,0.26
1292,Synodontidae,Lizardfishes nei,33,3.8,0.49
1293,Synodontis spp,Upsidedown catfishes,13,3.1,0.54
1294,Tandanus tandanus,Tandan catfish,13,3.1,0.28
1295,Tapes pullastra,Carpet shell,56,2.1,0.13
1296,Tapes spp,Carpet shells nei,56,2.1,0.13
1297,Tarpon atlanticus,Tarpon,35,3,0.15
1298,Tautoga onitis,Tautog,33,3.5,0.26
1299,Tautogolabrus adspersus,Cunner,33,3.5,0.26
1300,Tenualosa ilisha,Hilsa shad,24,2.8,0.27
1301,Tenualosa reevesii,Reeves shad,24,2.8,0.27
1302,Tenualosa toli,Toli shad,24,2.8,0.27
1303,Testudinata,Marine turtles nei,72,2.4,0.37
1304,Testudinata,River and lake turtles nei,72,2.4,0.37
1305,Tetraodontidae,Puffers nei,33,3.2,0.51
1306,Tetrapturus albidus,Atlantic white marlin,36,4.2,0.31
1307,Tetrapturus angustirostris,Shortbill spearfish,36,4.2,0.04
1308,Tetrapturus audax,Striped marlin,36,4.2,0.31
1309,Tetrapturus belone,Mediterranean spearfish,36,4.2,0.04
1310,Tetrapturus georgei,Roundscale spearfish,36,4.2,0.04
1311,Tetrapturus pfluegeri,Longbill spearfish,36,4.2,0.04
1312,Teuthoidea,"Various squids, nei",57,3.2,0.14
1313,Thais chocolata,Chocolate rocksnail,56,2.1,0.13
1314,Thaleichthys pacificus,Eulachon,23,2.4,0.25
1315,Theragra chalcogramma,Alaska pollock(=Walleye poll.),32,3.8,0.25
1316,Theraponidae,Therapon perches,33,3.5,0.26
1317,Thunnini,Tunas nei,36,3.7,0.57
1318,Thunnus alalunga,Albacore,36,4,0.12
1319,Thunnus albacares,Yellowfin tuna,36,3.7,0.57
1320,Thunnus atlanticus,Blackfin tuna,36,4,0.12
1321,Thunnus maccoyii,Southern bluefin tuna,36,4,0.12
1322,Thunnus obesus,Bigeye tuna,36,4,0.12
1323,Thunnus thynnus,Northern bluefin tuna,36,4,0.12
1324,Thunnus tonggol,Longtail tuna,36,4,0.12
1325,Thymallus arcticus,Baykal grayling,23,3.6,0.27
1326,Thymallus thymallus,Grayling,23,3.6,0.27
1327,Thyrsites atun,Snoek,37,3.4,0.13
1328,Thyrsitops lepidopoides,White snake mackerel,37,3.4,0.29
1329,Thysanoessa macrura,Bigeye krill,46,2.2,0.4
1330,Tilapia rendalli,Redbreast tilapia,12,2.5,0.18
1331,Tilapia sparrmanii,Banded tilapia,12,2.5,0.18
1332,Tinca tinca,Tench,11,2.7,0.34
1333,Todarodes pacificus,Japanese flying squid,57,3.2,0.14
1334,Todarodes sagittatus angolen.,Angolan flying squid,57,3.2,0.14
1335,Todarodes sagittatus sagittat.,European flying squid,57,3.2,0.14
1336,Tomistoma schlegelii,False gharial,73,3,0.3
1337,Torpedinidae,Torpedo(=Electric)rays,38,3.5,0.52
1338,Torpedo spp,Torpedo spp,38,3.5,0.52
1339,Trachichthyidae,Slimeheads,33,3.5,0.26
1340,Trachinidae,Weeverfishes nei,33,3.5,0.26
1341,Trachinotus blochii,Asian pompano,34,3.3,0.28
1342,Trachinotus carolinus,Florida pompano,34,3.3,0.28
1343,Trachinotus ovatus(=Lichia gl),Pompano,34,3.3,0.28
1344,Trachinotus spp,Pompanos,34,3.3,0.28
1345,Trachinus draco,Greater weever,33,3.5,0.26
1346,Trachinus spp,Weevers,33,3.5,0.26
1347,Trachurus capensis,Cape horse mackerel,34,3.3,0.28
1348,Trachurus declivis,Greenback horse mackerel,34,3.3,0.28
1349,Trachurus japonicus,Japanese jack mackerel,34,3.3,0.28
1350,Trachurus lathami,Rough scad,34,3.3,0.31
1351,Trachurus mediterraneus,Mediterranean horse mackerel,34,3.3,0.28
1352,Trachurus murphyi,Chilean jack mackerel,34,3.3,0.21
1353,Trachurus picturatus,Blue jack mackerel,34,3.3,0.28
1354,Trachurus spp,Jack and horse mackerels nei,34,3.3,0.28
1355,Trachurus symmetricus,Pacific jack mackerel,34,3.3,0.28
1356,Trachurus trachurus,Atlantic horse mackerel,34,3.8,0.36
1357,Trachurus trecae,Cunene horse mackerel,34,3.3,0.28
1358,Trachypenaeus curvirostris,Cocktail shrimp,45,2.7,0.35
1359,Trematomus spp,Antarctic rockcods,33,3.4,0.06
1360,Triakidae,"Houndsharks,smoothhounds,topes",38,3.8,0.53
1361,Triakis semifasciata,Leopard shark,38,3.6,0.24
1362,Trichechus inunguis,Amazonian manatee,64,2,0
1363,Trichiuridae,"Hairtails, cutlassfishes, nei",37,3.6,0.45
1364,Trichiurus lepturus,Largehead hairtail,37,3.8,0.39
1365,Trichogaster pectoralis,Snakeskin gourami,13,3.1,0.28
1366,Trichogaster spp,Gouramis nei,13,3.1,0.28
