species_name,class,order,family,genus,species,subspecies,troph,protein (g/100g),fat (g/100g),iron (mg/100g),zinc (mg/100g),vita (RE/100g),vitb12 (mcg/100g),vitd (mcg/100g),kcal,chol (mg/100g)
Thunnus_obesus,Actinopterygii,Perciformes,Scombridae,Thunnus,obesus,,4.42,22.8,1.2,1.4,0.4,3,4.5,2,108,43
Thunnus_thynnus,Actinopterygii,Perciformes,Scombridae,Thunnus,thynnus,,4.45,26.2,3.3,2.05,0.5,61,6.9,12,142,58
Thymallus_arcticus,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus,,3.3,20,1.9,1,0.7,NA,NA,NA,96.97,NA
Thyrsites_atun,Actinopterygii,Perciformes,Gempylidae,Thyrsites,atun,,3.63,21.7,3,0.6,0.5,55,6.5,2,120,63
Synodus_myops,Actinopterygii,Aulopiformes,Synodontidae,Trachinocephalus,myops,,4.4,20,1.3,0.6,NA,NA,NA,NA,97,NA
Trachipterus_ishikawae,Actinopterygii,Lampriformes,Trachipteridae,Trachipterus,ishikawae,,3.9,18.1,0.1,0.3,NA,NA,NA,NA,79,NA
Trachurus_japonicus,Actinopterygii,Perciformes,Carangidae,Trachurus,japonicus,,3.4,20.2,4.65,0.75,1.1,7,7.1,8.9,129.5,68
Trachurus_picturatus,Actinopterygii,Perciformes,Carangidae,Trachurus,picturatus,,3.3,19,8,NA,NA,NA,NA,NA,149,NA
Trachurus_trachurus,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,,3.71,19.6,9.1,1,0.9,16,8.1,8,169,78
Tribolodon_hakonensis,Actinopterygii,Cypriniformes,Cyprinidae,Tribolodon,hakonensis,,2.95,19.2,1.65,1.1,3.4,41,8.5,19,97.5,93
Trichiurus_lepturus,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,,4.42,17.5,14.2,0.6,0.5,52,0.9,14,207.5,72
Umbrina_canosai,Actinopterygii,Perciformes,Sciaenidae,Umbrina,canosai,,3.9,19.1,3.9,NA,NA,NA,NA,NA,113,NA
Upeneus_japonicus,Actinopterygii,Perciformes,Mullidae,Upeneus,japonicus,,3.6,7.1,19.5,1.4,NA,NA,NA,NA,248,NA
Uranoscopus_japonicus,Actinopterygii,Perciformes,Uranoscopidae,Uranoscopus,japonicus,,4,18.2,0.5,0.7,NA,NA,NA,NA,82,NA
Urophycis_brasiliensis,Actinopterygii,Gadiformes,Phycidae,Urophycis,brasiliensis,,3.8,17.6,1.2,2.1,NA,NA,NA,NA,83,NA
Verasper_variegatus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Verasper,variegatus,,3.5,18.2,0.2,0.2,NA,NA,NA,NA,82,NA
Wallago_attu,Actinopterygii,Siluriformes,Siluridae,Wallago,attu,,3.7,15.4,2.1,0.8,0.27,1,NA,NA,80,NA
Xenentodon_cancila,Actinopterygii,Beloniformes,Belonidae,Xenentodon,cancila,,3.9,16.6,3.1,0.8,0.94,65,NA,NA,94,NA
Xiphias_gladius,Actinopterygii,Perciformes,Xiphiidae,Xiphias,gladius,,4.53,18.1,4.3,3.35,0.7,61,1.9,8.8,117,72
Zacco_platypus,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,platypus,,3.05,18.85,4.3,1.25,2.5,10,11.3,10,120.5,91
Zalanthias_kelloggii,Actinopterygii,Perciformes,Serranidae,Plectranthias,kelloggi,azumanus,4,19,1.2,1,NA,NA,NA,NA,91,NA
Zebrias_zebra,Actinopterygii,Pleuronectiformes,Soleidae,Zebrias,zebra,,3.5,18.9,1.2,1.2,NA,NA,NA,NA,91,NA
Zenopsis_nebulosa,Actinopterygii,Zeiformes,Zeidae,Zenopsis,nebulosa,,4,20.3,1,0.8,NA,NA,NA,NA,95,NA
Zeus_faber,Actinopterygii,Zeiformes,Zeidae,Zeus,faber,,4.5,19.1,1.4,0.6,NA,NA,NA,NA,97,NA
Zoarces_gillii,Actinopterygii,Perciformes,Zoarcidae,Zoarces,gillii,,3.5,18.5,0.1,0.4,NA,NA,NA,NA,79,NA
